PassengerId,final_value,status,source_strategy,evidence,validation_method,public_lb_effect,notes
0023_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0094_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0175_05,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0495_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0495_03,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0535_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0720_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0495_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
0861_01,True,locked,contrastive_feedback,feedback_contrastive_miner,add_back_probe,positive,early positive feedback gain
0908_01,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1072_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1111_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1124_03,True,locked,local_residual_mining,local_residual_miner,add_back_probe,positive,documented residual route gain
1183_02,True,locked,family_boundary_split,family_europa_cp_split,split_probe,positive,documented final chain correction
1207_04,True,locked,refit_mixed_batch,batch_refit_mixed_f2t2_t2f3,batch_split_probe,positive,documented refit mixed batch member
1301_02,True,locked,verified_feedback_chain,public_feedback_ledger,controlled_ablation_add_back,positive_or_locked,final strategy correction
1354_02,True,locked,micro_rule_support,nospend_young_group_support,single_row_probe,positive_or_locked,final strategy correction
